,beneficiario,destino,exercicio,motivo,nEmpenho,periodo,situacaoEmpenho,unidadeOrcamentaria,valorTotalDiario
80,ERICK BENEVIDES DE VASCONCELOS,SAO PAULO-SP,2014,"PAGAMENTO DE QUATRO DIARIAS DA REGIAO II, EM NOME SO SERVIDOR: ERICK BENEVIDES DE VASCONCELOS - COORDENADOR DA COORDENADORIA DE COMERCIALIZACAO, CONFORME ATO NO 604 2014-SEGOV.                                                                               ",0442,24/09/2014 a 27/09/2014,Pago,30.101-SECRETARIA MUNICIPAL DE TURISMO DE FORTALEZA,"1.920,00"
81,LUIZ WAGNER BARBOSA DA SILVA,GUAIUBA-CE,2014,AFERICAO DE EQUIPAMENTOS DE MEDIDA DE VELOCIDADE.                                                                                                                                                                                                              ,0051,15/01/2014 a 18/01/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"704,72"
82,FRANCISCO ADAHIL MOREIRA,FORQUILHA-CE,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0058,03/02/2014 a 08/02/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"528,54"
83,FRANCISCO ADAHIL MOREIRA,GROAIRAS-CE,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0059,10/02/2014 a 14/02/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"440,45"
84,FRANCISCO ADAHIL MOREIRA,MERUOCA-CE,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0060,17/02/2014 a 27/02/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"968,99"
85,VILTON MUDESTO ARRUDA,FORQUILHA-CE,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0061,03/02/2014 a 08/02/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"528,54"
86,VILTON MUDESTO ARRUDA,GROAIRAS-CE,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0062,10/02/2014 a 14/02/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"440,45"
87,VILTON MUDESTO ARRUDA,MERUOCA-CE,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0063,17/02/2014 a 27/02/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"968,99"
88,LUIS ALBUQUERQUE SAMPAIO,MARANGUAPE-CE,2014,FISCALIZACOES  EM CRONOTACOGRAFOS.                                                                                                                                                                                                                             ,0064,15/01/2014 a 16/01/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"197,98"
89,JOSE NAIRTON MACEDO COSTA,GRANJEIRO-CE,2014,FISCALIZACOE E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                        ,0065,24/02/2014 a 28/02/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"880,90"
90,JOSE NAIRTON MACEDO COSTA,VARZEA ALEGRE-CE,2014,FISCALIZACOE E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                        ,0066,06/03/2014 a 20/03/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.642,70"
91,ROBERTA ALVES MARTINS,SALVADOR-BA,2014,"PARTICIPAR DO II ENCONTRO DO CURSO DE APERFEICOAMENTO EM GESTAO INTEGRAL A SAUDE DE PESSOAS E SITUACAO DE RUA, A CIDADE DE SALVADOR BA.                                                                                                                        ",1312,23/10/2014 a 25/10/2014,Pago,25.901-FUNDO MUNICIPAL DE SAUDE - ADMINISTRACAO GERAL,"840,00"
92,PLINIO ROQUE DA CRUZ FILHO,CEDRO-PR,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0067,10/02/2014 a 21/02/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
93,PLINIO ROQUE DA CRUZ FILHO,GRANJEIRO-CE,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0068,24/02/2014 a 28/02/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"880,90"
94,PLINIO ROQUE DA CRUZ FILHO,VARZEA ALEGRE-CE,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0069,06/03/2014 a 20/03/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.642,70"
95,JOAO BATISTA BEZERRA MELO,APUIARES-CE,2014,FISCALIZACOES E VERIFACACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0070,03/02/2014 a 14/02/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
96,JOAO BATISTA BEZERRA MELO,PENTECOSTE-CE,2014,FISCALIZACOES E VERIFACACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0071,17/02/2014 a 28/02/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
97,JOAO BATISTA BEZERRA MELO,URUBURETAMA-CE,2014,FISCALIZACOES E VERIFACACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0072,06/03/2014 a 15/03/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"1.761,80"
98,MARCIA DIAS SOARES,BRASILIA-DF,2014,"VIAGEM A BRASILIA PARA PARTICIPAR DA REUNIAO NASECRETARIA DE DIREITOS HUMANOS DA PRESIDENCIA DAREPUBLICA,ENTRE OUTROS EVENTOS.                                                                                                                                 ",0144,10/03/2014 a 13/03/2014,Pago,11.101-GABINETE DO PREFEITO,"1.920,00"
99,DEBORA LOPES DE ARAUJO BEZERRA DE MENEZES,BRASILIA-DF,2014,"VIAGEM A BRASILIA PARA PARTICIPAR DA REUNIAO NASECRETARIA DE DIREITOS HUMANOS DA PRESIDENCIA DAREPUBLICA,ENTRE OUTROS EVENTOS.                                                                                                                                 ",0145,10/03/2014 a 13/03/2014,Pago,11.101-GABINETE DO PREFEITO,"1.920,00"
100,ROBERTO CLAUDIO RODRIGUES BEZERRA,BRASILIA-DF,2014,VIAGEM A BRASILIA PARA PARTICIPAR DA REUNIAO DEINTERESSE DO MUNICIPIO DE FORTALEZA.                                                                                                                                                                            ,0146,13/03/2014 a 15/03/2014,Pago,11.101-GABINETE DO PREFEITO,"1.050,00"
101,ROBERTO CLAUDIO RODRIGUES BEZERRA,SAO PAULO-SP,2014,VIAGEM A SAO PAULO PARA PARTICIPAR DE REUNIAO DEINTERESSE DO MUNICIPIO DE FORTALEZA.                                                                                                                                                                           ,0147,15/03/2014 a 18/03/2014,Pago,11.101-GABINETE DO PREFEITO,"2.800,00"
102,KARLA ANTONYA RENE CARRILHO LOPES,BELO HORIZONTE-MG,2014,"ATRIBUIR A SERVIDORA KARLA ANTONYA RENE CARRILHO LOPES, DIARIAS DE DESLOCAMENTO COMO CONCEDER PASSAGEM AEREA DE IDA E VOLTA PARA O TRECHO FORTALEZA BELO HORIZONTE FORTALEZA, PARA PARTICIPAR DO ENCONTRO JURIDICO - 2 CICLO DE 2014.                          ",1087,17/11/2014 a 17/11/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"1.623,93"
103,JOSE EUGENES ELEUTERIO DA SILVA,BRASILIAO-,2014,"VIAGEM A BRASILIA PARA PARTICIPAR DO I SEMINARIONACIONAL DE POLITICAS PUBLICAS DE TRABALHO,EMPREGOE RENDA PARA A JUVENTUDE.                                                                                                                                    ",0148,20/03/2014 a 22/03/2014,Pago,11.101-GABINETE DO PREFEITO,"1.350,00"
104,JOSE EURICO DE VASCONCELOS FILHO,SAO PAULO-SP,2014,VIAGEM A SAO PAULO PARA PARTICIPAR DE VISITATECNICA A IBM.                                                                                                                                                                                                     ,0094,26/02/2014 a 27/02/2014,Pago,11.101-GABINETE DO PREFEITO,"960,00"
105,MOACIR MAIA DOS SANTOS,BRASILIA-DF,2014,PARA PARTICIPAR DE AUDIENCIA E TRATAR DE ASSUNTOSDE INTERESSE DA MUNICIPALIDADE.                                                                                                                                                                               ,0253,27/02/2014 a 02/03/2014,Pago,15.101-SECRETARIA MUNICIPAL DE GOVERNO,"1.440,00"
106,LUCIRENE ARAUJO MACIEL,RIO DE JANEIRO-RJ,2014,PARTICIPAR DO 7 SEMINARIO DE COMUNICACAO DA FIFA.                                                                                                                                                                                                              ,0278,24/02/2014 a 27/02/2014,Pago,15.101-SECRETARIA MUNICIPAL DE GOVERNO,"1.440,00"
107,MOACIR MAIA DOS SANTOS,BRASILIA-DF,2014,ACOMPANHAR O SR.PREFEITO E TRATAR DE ASSUNTOS DEINTERESSE DA MUNICIPALIDADE.                                                                                                                                                                                   ,0415,13/03/2014 a 16/03/2014,Pago,15.101-SECRETARIA MUNICIPAL DE GOVERNO,"1.050,00"
108,MARLON CARVALHO CAMBRAIA,BRASILIA-DF,2014,"PAGAMENTO DE DESPESA COM QUATRO DIARIAS DA REGIAO 2ACRESCIA DE UMA DIARIOA DE DESLOCAMENTO PARA PARTI-CIPAR DA 11 REUNIAO TECNICA DO CONACI QUE ACONTECE-RA DIAS 25 A 27 03 2014 EM FAVOR DO SECRETARIO DASECOT, MARLON CARVALHO CAMBRAIA.                     ",0039,25/03/2014 a 28/03/2014,Pago,16.101-SECRETARIA DA CONTROLADORIA E TRANSPARENCIA,"2.200,00"
109,WILFRIDO TIRADENTES DA ROCHA NETO,BRASILIA-DF,2014,"PAGAMENTO DE DESPESA COM QUATRO DIARIAS DA REGIAO 2ACRESCIA DE UMA DIARIA DE DESLOCAMENTO PARA PARTI-CIPAR DA 11 REUNIAO TECNICA DO CONACI QUE ACONTECE-RA DIAS 25 A 27 03 2014 EM FAVOR DO SECRETARIO EXE-TIVO, WILFRIDO TIRADENTES DA ROCHA NETO.            ",0040,25/03/2014 a 28/03/2014,Pago,16.101-SECRETARIA DA CONTROLADORIA E TRANSPARENCIA,"2.200,00"
110,PHILIPE THEOPHILO NOTTINGHAM,RECIFE-PE,2014,PARTICIPATAR DO FORUM NACIONAL DE SECRETARIA DEADMINISTRACAO DAS CAPITAIS-FONAC.                                                                                                                                                                               ,0217,20/03/2014 a 22/03/2014,Pago,"18.101-SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORCAMENTO E GESTAO","1.350,00"
111,PHILIPE THEOPHILO NOTTINGHAM,BRASILIA-DF,2014,PARTICIPATAR DO DO VI CONGRESSO CONSAD DE GESTAOPUBLICA.                                                                                                                                                                                                       ,0218,25/03/2014 a 27/03/2014,Pago,"18.101-SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORCAMENTO E GESTAO","1.650,00"
112,VLADIA CELIA MONTEIRO PINHEIRO,SAO PAULO-SP,2014,VISITA TECNICA A EMPRESA IBM.                                                                                                                                                                                                                                  ,0244,24/02/2014 a 26/02/2014,Pago,23.101-SECRETARIA MUNICIPAL DE FINANCAS,"840,00"
113,LUIS ALBUQUERQUE SAMPAIO,SOBRAL-CE,2014,"REALIZAR FISCALIZACAO EM CRONOTACOGRAFOS, NA CIDADE DE SOBRAL-CE                                                                                                                                                                                               ",1184,26/11/2014 a 28/11/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"593,94"
